 # mass    139.578003      MeV
 # Ekin    45000.0000      MeV
 # path   0.260206014      um
 # mean dE/dx    373.898499      eV/um
 #         j      dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
         781      8376.96094          226604.875    
         782      8468.17969          225773.047    
         783      8560.39258          224955.500    
         784      8653.60938          224165.734    
         785      8747.84082          223372.672    
         786      8843.09863          222612.359    
         787      8939.39355          221852.438    
         788      9036.73730          221106.484    
         789      9135.14062          220361.109    
         790      9234.61621          219653.547    
         791      9335.17480          218946.766    
         792      9436.82812          218252.500    
         793      9539.58887          217570.609    
         794      9643.46777          216901.125    
         795      9748.47852          216243.328    
         796      9854.63281          215586.328    
         797      9961.94238          214952.688    
         798      10070.4209          214330.469    
         799      10180.0811          213719.141    
         800      10290.9346          213107.375    
         801      10402.9951          212517.750    
         802      10516.2764          211935.469    
         803      10630.7910          211356.328    
         804      10746.5527          210797.703    
         805      10863.5752          210239.641    
         806      10981.8721          209701.781    
         807      11101.4570          209162.484    
         808      11222.3438          208644.250    
         809      11344.5469          208124.266    
         810      11468.0811          207624.406    
         811      11592.9600          207113.094    
         812      11719.1992          206631.109    
         813      11846.8135          206147.750    
         814      11975.8164          205683.031    
         815      12106.2246          205207.531    
         816      12238.0527          204759.359    
         817      12371.3164          204310.016    
         818      12506.0312          203877.484    
         819      12642.2129          203432.391    
         820      12779.8779          203007.062    
         821      12919.0420          202589.359    
         822      13059.7217          202178.969    
         823      13201.9326          201784.250    
         824      13345.6924          201380.406    
         825      13491.0176          200991.844    
         826      13637.9248          200610.500    
         827      13786.4326          200235.812    
         828      13936.5566          199875.766    
         829      14088.3154          199506.531    
         830      14241.7275          199144.219    
         831      14396.8096          198803.062    
         832      14553.5811          198460.906    
         833      14712.0596          198117.719    
         834      14872.2637          197787.922    
         835      15034.2119          197463.797    
         836      15197.9238          197143.188    
         837      15363.4180          196823.891    
         838      15530.7148          196517.172    
         839      15699.8330          196215.719    
         840      15870.7930          195919.922    
         841      16043.6143          195622.797    
         842      16218.3174          195343.828    
         843      16394.9238          195057.031    
         844      16573.4531          194775.688    
         845      16753.9258          194499.172    
         846      16936.3633          194239.703    
         847      17120.7891          193973.062    
         848      17307.2227          193717.125    
         849      17495.6855          193459.891    
         850      17686.2012          193212.875    
         851      17878.7910          192970.250    
         852      18073.4785          192724.844    
         853      18270.2852          192485.719    
         854      18469.2363          192255.906    
         855      18670.3535          192030.062    
         856      18873.6602          191803.422    
         857      19079.1816          191585.656    
         858      19286.9395          191366.875    
         859      19496.9609          191152.016    
         860      19709.2695          190945.719    
         861      19923.8887          190743.047    
         862      20140.8457          190539.250    
         863      20360.1660          190339.469    
         864      20581.8730          187189.156    
         865      20805.9941          189940.453    
         866      21032.5566          189751.328    
         867      21261.5859          189569.781    
         868      21493.1094          189387.438    
         869      21727.1543          189211.219    
         870      21963.7480          189035.219    
         871      22202.9180          188862.406    
         872      22444.6914          188696.391    
         873      22689.0977          188533.328    
         874      22936.1660          188369.609    
         875      23185.9238          188208.656    
         876      23438.4023          188050.672    
         877      23693.6309          187895.359    
         878      23951.6387          187742.969    
         879      24212.4551          187592.953    
         880      24476.1113          187449.156    
         881      24742.6387          187307.547    
         882      25012.0684          187165.547    
         883      25284.4316          187025.797    
         884      25559.7617          186888.750    
         885      25838.0898          186756.750    
         886      26119.4492          186623.484    
         887      26403.8711          186493.328    
         888      26691.3906          186365.531    
         889      26982.0410          186242.469    
         890      27275.8555          186119.000    
         891      27572.8711          185997.531    
         892      27873.1211          185878.312    
         893      28176.6387          185763.516    
         894      28483.4629          185648.438    
         895      28793.6270          185535.266    
         896      29107.1699          185426.312    
         897      29424.1270          185316.875    
